Family,Scientific Name,Common Name,Duration,Habit,Light,Soil Moisture,Height,Color,Bloom Period,Notes
Sapindaceae,Acer rubrum,Red Maple,Deciduous,Tree,Sun - Part Shade,Any,40' - 60',Red,March - April,"A medium sized tree known for its bright red leaves at the very start of fall.  A “supergeneralist,” growing on
the widest variety of sites and in the greatest range of
conditions (sunny or shady, high or low nutrients, dry
or moist)"
Sapindaceae,Acer saccharinum,Silver Maple,Deciduous,Tree,Sun - Part Shade,Wet,80' - 115',Green and Yellow,April - May,"Silver maple is one of the fastest growing deciduous trees of the eastern and midwestern forests. Also called river maple, this name derives from the common occurrence of the species along our river systems. Silver Maple can grow 3 - 7 feet per year. As a pioneer species, silver maple is shade intolerant."
Sapindaceae,Acer saccharum,Sugar Maple,Deciduous,Tree,Part Sun,Medium,80' - 120',Greenish Yellow,April - June,"Sugar maple is widely planted as an ornamental or shade tree. It is a large slow growing tree with flowers used by a diverse array of pollinators. In the fall the leaves turn a variety of yellows, oranges, and reds. Sugar maple is the only tree today used for commercial syrup production, as its sap has twice the sugar content of other maple species"
Liliacea,Alisma subcordatum,American Water Plantain,Perennial,Herb,Sun,Wet,1' - 3',White to Pinkish,June - September,"Water Plantain can be found growing in shallow, quiet to slow moving water, and in mud of marshes, ponds, lakes, streams, ditches, and seeps. It requires organic or silty soils, with seasonally or permanently inundated freshwater. To grow optimally, it requires full sunlight."
Liliacea,Allium cernuum,Nodding Onion,Perennial,Herb,Sun,Medium,1' - 3',Pink,June - August,This perennial has a distinct cluster of pink flowers in the summer that droop down giving it the name nodding onion. The bulbs can be easily divided for propagation.
Betulaceae,Alnus serrulata,Hazel Alder,Deciduous,Shrub,Sun - Part Shade,Medium - Wet,8' - 12',Brown catkins,March - April,"Smooth alder is a nitrogen-fixing, thicket-forming
shrub or small tree with dark, green foliage. It is suitable for streambank stabilization because of its flexible stems and fibrous root system. Alders produce nitrogen for themselves
by the activity of nitrogen-fixing bacteria located in
root nodules. For this reason, it is not recommended
for planting in areas where additional nitrogen might
add to water quality problems."
Rosaceae,Amelanchier canadensis,Canadian Serviceberry,Perennial,Shrub,Part Shade - Shade,Medium,26',White,April - May,"A small shade tolerant  tree, Canadian Serviceberry is one of the earliest blooming trees in spring. Serviceberry is adapted to many soil types, but can not handle urban heat islands and pollution."
Poaceae,Ammophila breviligulata,American Beachgrass,Evergreen,Graminoid,Full sun,Dry,2' - 3',Yellow,July - August,"American beachgrass is a leafy, spreading, strongly rhizomatous grass, producing up to of 100 stems per clump annually. American beachgrass is the predominant plant
species utilized along the Atlantic and Great Lakes coastlines for initial stabilization of frontal sand
dunes. It has also been utilized on extreme, non-dune sites, some having high salinity levels and droughty
conditions, for erosion control and initial cover."
Poaceae,Andropogon gerardii,Big bluestem,Perennial,Graminoid,Full sun,Medium - Dry,6' - 8',Purplish-red,September - February,"Big Bluestem, is perennial, warm season grass that occurs from the short grass prairie region to the Atlantic Ocean. Big bluestem is tall, reaching a height of 6 to 8 feet on
most sites where it is protected from grazing.  Big bluestem is a top choice for erosion control plantings on sites with moderately well drained to excessively well drained soils."
Poaceae,Andropogon virginicus,Broomsedge,Perennial,Graminoid,Sun - Part Shade,Medium - Dry,2' - 4',Reddish Orange,September - November,Broomsedge bluestem is used as an ornament in landscapes. The inflorescence is orange in the fall and remains throughout the winter. It provides color to the landscape.
Apocynaceae,Apocynum cannabinum,Indianhemp,Perennial,Herb,Sun,Dry - Medium,2' - 6',White,July,"The extensive root system on Indian hemp provides good slope and streambank stabilization and erosion control functions. The flowers are attractive to bees, butterflies, and other insects. The plant itself is toxic, so many forms of wildlife do not eat it."
Ranunculaceae,Aquilegia canadensis,Eastern Red Columbine,Perennial,Herb,Part Shade - Shade,Dry - Medium,"12"" - 30""",Red & yellow,March - July,"Red columbine, in native or cultivated forms, is a popular garden perennial because it is hardy, lives approximately 3 to 5 years, and can readily regenerate by seed.  Red columbine is pollinated by hummingbirds, which may depend on the plant as an important nectar source."
Ericaceae,Arctostaphylos uva-ursi,Bearberry,Perennial,Subshrub,Full Sun - Part Shade,Dry,"1"" - 6""",White to Pink,May - June,"Bearberry serves a dual role on sandy soils, as both a beautification plant as well as a critical area stabilizer. The thick, vegetative mat and evergreen character are what make bearberry a very popular ground cover. It is often planted around home sites, sand dunes, sandy banks, and commercial sites. The fruit it produces is eaten by a few species of songbirds and game animals. Although bearberry is often found growing in the open on sand dunes, it grows well under partial shade of forest canopies."
Apocynaceae,Asclepias incarnata,Swamp Milkweed,Perennial,Herb,Sun - Part Shade,Wet,3' - 6',Pink and Purple,June - August,"Swamp milkweed is a tall plant with fragrant, showy clusters of pink and light purple flowers. It does well in landscape plantings with moist soil and in plantings near bodies of water. Unlike many ornamentals, swamp milkweed tolerates heavy clay soils and is very deer-resistant. Swamp milkweed is a favored food of monarch butterfly (Danaus plexippus) larva. Swamp milkweed is also an important food source for the queen butterfly (Danaus glippus) larva. Various other butterflies and hummingbirds consume nectar from the flowers."
Apocynaceae,Asclepias syriaca,Common Milkweed,Perennial,Herb,Sun,Dry - Medium,3' -6',"Pink, White",June - August,"Common Milkweed is a wonderful horticultural plant for landscaping to attract butterflies (particularly monarchs), whose numbers are declining and migratory routes changing due to lack of appropriate habitat."
